Wed Apr 21 19:40:25 2021				
				
				
Number of Points = 2987				
				
Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
-22.621547	-4.472682	0.960922	0.005136	0.990801
-22.815191	-4.413799	0.965926	0.005178	0.990786
-22.541915	-4.630708	0.970931	0.005118	0.990623
-23.618021	-4.365237	0.975936	0.005353	0.990455
-23.43815	-4.420467	0.980941	0.005314	0.990468
-23.521239	-4.397784	0.985946	0.005332	0.990459
-23.043568	-4.563464	0.99095	0.005227	0.990467
-23.442428	-4.473708	0.995955	0.005314	0.990393
-24.047134	-4.376031	1.00096	0.005447	0.990228
-23.914345	-4.473398	1.010957	0.005417	0.99016
-23.920784	-4.472832	1.020954	0.005419	0.990158
-23.845492	-4.501663	1.03095	0.005402	0.990156
-23.774361	-4.458289	1.040947	0.005386	0.990251
-23.747382	-4.514488	1.050944	0.00538	0.990187
-23.606148	-4.452936	1.060941	0.005349	0.990343
-23.415941	-4.5644	1.070938	0.005307	0.990284
-23.925695	-4.342006	1.080934	0.005419	0.990338
-23.514143	-4.460331	1.090931	0.005329	0.99038
-23.137299	-4.580994	1.100928	0.005246	0.990401
-23.517634	-4.395245	1.110925	0.005329	0.990469
-23.401696	-4.439658	1.120922	0.005303	0.990465
-23.135988	-4.540431	1.130918	0.005245	0.990459
-23.317994	-4.469756	1.140915	0.005285	0.990466
-23.323031	-4.467771	1.150912	0.005286	0.990467
-23.308708	-4.47139	1.160909	0.005282	0.990469
-23.157629	-4.431058	1.170906	0.005249	0.9906
-22.705762	-4.602865	1.180902	0.00515	0.990588
-23.282305	-4.372737	1.190899	0.005276	0.99062
-22.821086	-4.469806	1.200896	0.005175	0.990715
-22.512671	-4.517511	1.210893	0.005108	0.990803
-22.804124	-4.408941	1.22089	0.005171	0.990808
-22.548517	-4.509873	1.230886	0.005115	0.990796
-22.596338	-4.485423	1.240883	0.005125	0.990807
-22.656256	-4.470151	1.25088	0.005138	0.990798
-22.385509	-4.565095	1.260877	0.005079	0.990802
-22.904258	-4.379299	1.270874	0.005192	0.990802
-22.47724	-4.487601	1.28087	0.005099	0.990864
-22.265109	-4.479716	1.290867	0.005052	0.990981
-22.001109	-4.552587	1.300864	0.004994	0.991012
-22.224376	-4.45235	1.310861	0.005043	0.99104
-22.160784	-4.462479	1.320858	0.005029	0.991058
-22.104611	-4.482452	1.330854	0.005016	0.991058
-22.196241	-4.44615	1.340851	0.005036	0.991063
